w	v
9715.65000000000	27460
20794	65879.1700000000
22000	164175.930000000
54564.7000000000	89056
2400	35533.2600000000
20420.4000000000	35369.6300000000
20889	64120
700	136517.340000000
74628.6000000000	220963
11440.5000000000	104164.500000000
13694	133050.780000000
22324	183395.140000000
5138	18721.2400000000
16000	414005
10000	52912.1800000000
11472	171853
24719	84350.9000000000
4836	13036.1100000000
14937.4000000000	37178.9700000000
3380	100614.390000000
69108.6000000000	206101.730000000
80446	206136.890000000
4353	42092.6600000000
4508	93161.3000000000
27252.7000000000	208665
18328	59950
39084.1000000000	216602.010000000
13109	32878.1300000000
32210	64376.7700000000
19456	110797
2460	416592
82048	80070.5900000000
11548	42080.6100000000
5220	131214.250000000
3000	343980
24492	34000
42077	118573
3824	403472.810000000
14045	17485
5073	295100
13006	107371.340000000
19953.2000000000	35687
17624	42439
22360	74631.8900000000
2598.80000000000	176736.380000000
21530	75372.5400000000
58725	137462.140000000
5790	148797
5665	25163.8600000000
87584	187098.810000000
6937	157792
9943	119685.290000000
1110.20000000000	9533.14000000000
19591	186585.930000000
245	26510
10355.4000000000	43491.3700000000
3102.10000000000	5735.13000000000
14150	284603.210000000
50331.4800000000	80735
