Quantity,Value
18.2,1853.11
122.9,1775.61
480,6357
393.3,3193.18
0.48000002,107.99
1030.28,3025.3
1.8,535.9
963.2,9818.89
63.72,2786.32
12.2,1447.35
2.85,537.99
23.94,14581.65
275,21628.81
786,8611.85
12222.96,36090.2
11460.18,21933.31
11285.54,14181.1
11367.66,13032.87
11173.96,12825.9
11631.77,17660.71
11612.34,17602.82
11570.91,16504.1
11746.91,12269.2
11696.24,13567.08
12051.82,14432.52
11905.64,10498.14
11976.35,11867.1
